'_Artikel_nr'|'qualitaet_nr'|'bezeichnung'|'hinweis'|'sprache'
'W13-KW-046'|'38'|'10%WS 40%WO 25%VI 25%PA + 70%WM 30%PA + 78%CA 12%PES 10% PA + 100%WV'||'en'
'W13-KW-065'|'24'|||'de'
'W13-KW-065'|'24'|'82% CV 18% PES'||'en'
'W13-KW-067'|'24'|||'de'
'W13-KW-067'|'24'|'82% CV 18% PES'||'en'
'W13-KW-079'|'32'|||'de'
'W13-KW-079'|'32'|'10%WS 40%WO 25%CV 25%PA+ 70%WM 30%PA + 50%WM 30%PA 20%WO'||'en'
'W13-KW-080'|'35'|||'de'
'W13-KW-080'|'35'|'52%WM 17%WO 31%PA + 82%CV 18% PES'||'en'
'W13-KW-081'|'35'|||'de'
'W13-KW-081'|'35'|'52%WM 17%WO 31%PA + 82%CV 18% PES'||'en'
'W13-KW-082'|'35'|||'de'
'W13-KW-082'|'35'|'52%WM 17%WO 31%PA + 82%CV 18% PES'||'en'
'W13-KW-084'|'35'|||'de'
'W13-KW-084'|'35'|'52%WM 17%WO 31%PA + 82%CV 18% PES'||'en'
'W13-KW017'|'19'|||'de'
'W13-KW017'|'19'|'50% WM 30% PA 20% WO'||'en'
'W13-KW049'|'23'|||'de'
'W13-KW049'|'23'|'50%WO 50% CV'||'en'
'W13-KW083'|'35'|||'de'
'W13-KW083'|'35'|'52%WM 17%WO 31%PA + 82%CV 18% PES'||'en'
'W13-RW-001'|'1'|||'de'
'W13-RW-001'|'1'|'100% SE'||'en'
'W13-RW-002'|'1'|||'de'
'W13-RW-002'|'1'|'100% SE'||'en'
'W13-RW-005'|'1'|||'de'
'W13-RW-005'|'1'|'100% SE'||'en'
'W13-RW-007'|'1'|||'de'
'W13-RW-007'|'1'|'100% SE'||'en'
'W13-RW-008'|'1'|||'de'
'W13-RW-008'|'1'|'100% SE'||'en'
'W13-RW-010'|'1'|||'de'
'W13-RW-010'|'1'|'100% SE'||'en'
'W13-RW-011'|'1'|||'de'
'W13-RW-011'|'1'|'100% SE'||'en'
'W13-RW-012'|'2'|||'de'
'W13-RW-012'|'2'|'100% CO'||'en'
'W13-RW-013'|'2'|||'de'
'W13-RW-013'|'2'|'100% CO'||'en'
'W13-RW-014'|'2'|||'de'
'W13-RW-014'|'2'|'100% CO'||'en'
'W13-RW-019'|'1'|||'de'
'W13-RW-019'|'1'|'100% SE'||'en'
'W13-RW-026'|'1'|||'de'
'W13-RW-026'|'1'|'100% SE'||'en'
'W13-RW-030'|'26'|||'de'
'W13-RW-030'|'26'|'100% CV'||'en'
'W13-RW-033'|'28'|||'de'
'W13-RW-033'|'28'|'60% CLY 40% CV'||'en'
'W13-RW-039'|'29'|||'de'
'W13-RW-039'|'29'|'97%CO 3% EL'||'en'
'W13-RW-041'|'3'|||'de'
'W13-RW-041'|'3'|'95% CO 5% EL'||'en'
'W13-RW-042'|'2'|||'de'
'W13-RW-042'|'2'|'100% CO'||'en'
'W13-RW-043'|'2'|||'de'
'W13-RW-043'|'2'|'100% CO'||'en'
'W13-RW-044'|'2'|||'de'
'W13-RW-044'|'2'|'100% CO'||'en'
'W13-RW-045'|'30'|||'de'
'W13-RW-045'|'30'|'78% WO 22% PA'||'en'
'W13-RW-051'|'2'|||'de'
'W13-RW-051'|'2'|'100% CO'||'en'
'W13-RW-053'|'2'|||'de'
'W13-RW-053'|'2'|'100% CO'||'en'
'W13-RW-055'|'31'|||'de'
'W13-RW-055'|'31'|'80% WV 20%NY'||'en'
'W13-RW-057'|'2'|||'de'
'W13-RW-057'|'2'|'100% CO'||'en'
'W13-RW-060'|'1'|||'de'
'W13-RW-060'|'1'|'100% SE'||'en'
'W14-KW-055'|'5'|||'de'
'W14-KW-055'|'5'|'100% WS'||'en'
'W14-KW-056'|'5'|||'de'
'W14-KW-056'|'5'|'100% WS'||'en'
'W14-KW-057'|'5'|||'de'
'W14-KW-057'|'5'|'100% WS'||'en'
'W14-KW-058'|'5'|||'de'
'W14-KW-058'|'5'|'100% WS'||'en'
'W14-KW-059'|'5'|||'de'
'W14-KW-059'|'5'|'100% WS'||'en'
